customer_id,tenure_months,monthly_usage,subscription_plan,monthly_revenue,support_tickets,last_login_days,payment_delay,churn
1135,3,48.18864690710655,Pro,20,1,3,2,1
4210,20,212.49860778167613,Basic,120,1,44,0,0
1138,46,37.676554228241415,Basic,120,2,6,0,0
3466,4,55.76573579656377,Basic,50,5,22,1,1
713,17,40.46128433789408,Basic,50,3,30,1,0
2411,11,31.24679034644275,Pro,20,2,42,0,0
3045,27,72.69242132801917,Basic,50,1,48,1,0
4944,26,73.52173238951124,Basic,120,1,37,0,0
4567,15,131.41139294436735,Basic,20,1,20,0,0
2553,12,33.743712035495925,Basic,120,1,1,1,0
4076,33,49.26144231670201,Pro,50,2,22,2,1
308,7,204.5130914133714,Basic,50,2,51,0,0
392,48,224.85372459372476,Basic,20,1,2,0,0
3557,46,15.494571922033291,Pro,20,0,48,1,0
3218,21,114.94553075097348,Basic,20,2,31,0,1
2231,20,70.4944793310484,Basic,50,2,41,1,0
4702,14,94.39601078493472,Enterprise,120,2,48,1,1
4715,53,61.00356516355296,Basic,120,1,31,1,0
3202,54,147.04161154316577,Basic,120,0,1,0,0
249,2,75.192662931079,Pro,120,2,53,0,1
1325,25,31.9456989374717,Basic,20,2,33,0,0
645,12,16.650783444125224,Pro,20,2,36,1,0
793,1,125.1601386249754,Enterprise,50,0,0,2,0
1509,54,12.13205555075273,Basic,120,2,56,2,1
3949,26,57.04263771019017,Basic,120,1,42,1,1
1000,47,169.3869654563691,Basic,20,0,3,1,0
2609,53,81.23441818196514,Enterprise,20,3,53,0,0
4306,51,262.96468065590125,Basic,20,0,14,0,0
2743,10,109.4211174408922,Basic,120,1,37,0,1
248,39,147.42384709878093,Basic,120,2,9,0,0
3180,29,149.36527659718342,Pro,50,2,25,1,0
4561,36,68.83751688078037,Basic,20,0,13,0,0
2649,34,97.16664440287146,Basic,50,1,1,1,0
4031,35,84.64878353794421,Basic,50,1,10,1,0
4511,57,206.58465504685336,Enterprise,50,1,9,1,0
3659,25,94.63894800394932,Basic,20,2,1,1,0
2050,25,63.910325515957986,Basic,50,2,16,0,0
1545,59,129.5887709362599,Basic,20,2,21,0,0
290,48,155.48497330351495,Basic,50,1,30,0,0
3169,16,156.88985955061915,Basic,50,3,21,1,0
3414,32,136.68662150477235,Pro,50,0,13,0,0
3102,33,143.2772790223244,Pro,120,3,9,0,0
2167,29,190.53075979557877,Basic,20,2,3,1,0
4150,38,74.49874261578645,Enterprise,120,3,22,0,0
1684,9,43.4653265850369,Pro,50,2,6,2,0
4625,35,35.26130812521333,Basic,20,3,53,0,0
915,30,214.46560705288329,Enterprise,20,0,7,0,0
4478,51,174.25935804706543,Pro,120,1,41,2,0
3696,4,71.89881175550681,Enterprise,20,2,0,1,0
1157,22,94.61009420553415,Pro,20,3,2,0,0
825,3,160.66320803688347,Enterprise,50,2,28,0,1
1528,17,86.02361354838122,Pro,20,4,11,0,0
3432,31,27.0861331224606,Pro,50,3,50,1,0
685,57,33.625144492786,Basic,20,2,40,0,1
410,21,97.9918936750082,Enterprise,20,1,53,1,0
211,55,47.16236983636655,Enterprise,20,3,15,0,0
2989,57,151.94207798790228,Basic,20,2,39,1,0
3336,2,65.64593720134148,Basic,20,1,58,0,0
2529,57,241.84870887362808,Basic,20,0,37,0,0
4602,5,142.442526190427,Basic,120,1,1,1,1
3166,46,83.61548807594433,Pro,50,2,34,0,1
74,17,51.12281257332915,Pro,50,1,0,1,0
1952,45,94.5678152653268,Basic,20,2,19,1,0
3970,15,62.83610615597618,Basic,20,0,54,0,0
2605,14,51.28786618789122,Basic,20,2,22,0,0
563,34,79.83445948669608,Pro,20,5,15,1,0
1263,13,160.12790537810167,Basic,120,0,1,0,0
4009,39,64.25199222459004,Pro,20,1,31,2,0
2807,35,177.32357209162052,Pro,120,0,3,2,0
1972,12,124.48411748466266,Pro,50,0,14,2,0
218,27,250.943885603126,Pro,50,2,54,1,1
1747,51,134.9936031990987,Pro,50,3,45,0,0
4578,18,32.6924105609132,Basic,120,1,35,0,0
258,2,223.29788458192917,Basic,50,2,7,0,0
233,44,172.62233426137036,Pro,120,0,50,0,0
1058,31,114.86256204206198,Basic,120,1,44,0,0
3379,25,190.3111427696655,Pro,50,1,18,1,0
2221,15,80.51575814885156,Enterprise,120,0,28,2,0
191,32,144.48005369663775,Pro,50,2,29,0,0
2506,44,109.8642962890176,Pro,50,0,14,1,0
4394,10,8.948120250208481,Pro,20,0,6,0,0
2850,22,44.10629340655237,Pro,50,1,32,2,0
1677,23,312.42835450271247,Pro,50,1,52,2,1
2673,19,237.1959768706477,Basic,120,2,42,0,1
1789,53,12.37341034709433,Basic,120,0,37,0,0
3407,8,124.81345754089112,Basic,50,3,52,0,0
122,8,76.29575339082629,Basic,120,2,55,0,0
51,7,141.36630619496748,Basic,120,1,40,0,1
2011,5,102.17295294192816,Basic,20,0,18,0,1
1167,3,72.74857012040813,Basic,20,0,6,0,0
1597,3,228.23893630602873,Basic,120,2,56,1,0
1719,53,1.3394701988355124,Pro,20,1,25,1,0
2603,49,52.97383500172871,Basic,20,1,55,1,0
3600,14,319.1521638000153,Enterprise,50,1,31,0,0
327,7,97.3966740773489,Pro,120,3,9,2,0
3206,10,33.04219445184409,Basic,50,3,12,1,0
4042,26,43.99070668592982,Basic,20,1,16,0,0
2676,14,58.20617498628092,Pro,120,2,9,0,0
677,50,103.33032792746278,Pro,20,1,24,0,0
4812,17,137.05577035246947,Basic,120,2,11,0,0
4762,11,36.36588557778716,Basic,20,0,57,0,0
2475,58,30.9343383283327,Basic,20,3,21,0,0
537,52,21.67010448518537,Pro,50,0,36,0,0
4512,24,162.02083358570815,Basic,20,2,18,0,0
1327,42,85.83630542385089,Enterprise,120,2,33,2,1
4074,30,183.46266301805952,Basic,20,2,49,0,1
1002,15,40.2469150137214,Basic,50,1,26,0,0
620,32,58.22076063388706,Basic,120,0,47,1,0
3495,14,54.38951435350003,Basic,120,1,21,2,0
3634,49,7.699655973334737,Basic,20,1,41,1,0
2923,39,332.6019320803292,Pro,120,4,28,1,0
2435,18,274.454786839505,Basic,120,1,30,1,0
4575,53,204.0178270513692,Basic,20,0,11,0,0
1897,44,152.20153318909598,Basic,20,4,3,0,0
444,23,24.37016263442512,Basic,20,5,14,1,1
326,35,100.46256317308163,Basic,20,1,40,0,0
1536,40,78.0182820889802,Basic,20,1,50,1,1
1828,8,70.65317429373535,Pro,50,1,6,2,1
352,54,166.80319412706433,Basic,50,3,42,1,1
1446,56,125.02042232106388,Enterprise,50,1,42,1,0
508,22,16.565042873918898,Enterprise,120,0,38,0,0
4536,54,19.857555385130077,Basic,50,0,41,2,0
3322,32,88.68680052754866,Basic,50,3,54,0,0
2088,40,69.89713150077901,Enterprise,20,0,40,1,0
4128,32,67.08161873945615,Basic,50,3,31,0,0
511,22,166.23121232423586,Basic,120,0,53,1,0
2337,57,46.80619022635982,Pro,50,2,17,1,0
141,12,114.73819487292856,Basic,20,2,31,1,0
2882,10,170.29166079559153,Basic,120,3,21,0,0
4839,9,77.96045213728085,Enterprise,20,0,39,1,0
321,50,100.0414796452769,Pro,120,3,12,1,0
2239,28,75.46219160229627,Pro,50,2,54,0,0
499,28,18.745690421729787,Pro,50,1,4,0,0
2928,26,46.01888652559351,Basic,120,2,3,0,0
4100,55,45.50051160363888,Basic,120,0,37,1,0
387,8,34.02462047451135,Pro,50,2,3,1,0
330,48,382.3234860011016,Basic,20,1,40,1,1
4486,49,200.73473719874065,Basic,50,1,23,1,0
484,58,88.33067591658532,Pro,20,1,19,0,0
493,16,58.12426663007074,Basic,20,1,16,1,0
3528,38,122.64575408744268,Basic,50,1,47,0,0
2075,28,88.52752544093877,Basic,120,2,48,0,0
2128,53,74.3587313323844,Enterprise,20,3,13,3,0
1323,26,37.22716500797007,Enterprise,20,3,38,0,0
1971,4,101.48990229705196,Pro,20,2,58,0,1
195,22,51.91626258440776,Basic,120,1,20,0,0
4759,18,69.88368465242075,Pro,120,3,43,0,1
1873,31,72.5593448964357,Basic,120,0,33,0,0
4657,2,99.07369326123826,Basic,50,2,25,0,0
4086,14,117.98719379660396,Basic,20,1,13,1,0
3847,55,13.525654354800892,Enterprise,20,4,59,0,1
729,7,67.5092607714676,Basic,20,4,21,0,0
137,28,20.559602092160397,Basic,50,2,40,0,1
3764,10,62.49998731168691,Basic,20,1,29,0,0
4230,59,65.48045569490232,Enterprise,20,2,21,1,0
4747,30,140.26438264375082,Basic,50,1,16,2,0
379,33,65.16611910355147,Basic,50,0,13,2,0
2650,1,112.65350861996468,Pro,50,3,30,1,0
1501,34,65.48436641245173,Basic,120,4,3,0,0
1118,47,136.09079450052687,Basic,120,2,6,0,0
319,57,72.29592914002257,Pro,20,3,2,0,0
4265,23,366.3240426441049,Pro,20,0,42,0,1
3161,9,73.09035440981947,Enterprise,120,2,37,0,0
782,27,235.4061371139337,Pro,50,1,7,2,1
120,1,79.85757580274922,Basic,20,1,54,0,1
4695,47,169.06944763718417,Basic,120,2,50,0,1
2317,18,23.29477129472387,Pro,120,3,42,0,0
2474,36,63.15506917789085,Pro,20,1,6,2,0
4716,13,86.4591487164619,Basic,120,2,17,2,0
3474,10,82.59111904190178,Basic,20,1,11,0,0
3723,5,153.91528209504153,Pro,50,3,25,1,0
2992,42,128.29509914585995,Basic,20,1,17,2,0
1128,45,85.3455425841776,Basic,20,1,24,2,0
2641,8,35.83750736925292,Enterprise,120,1,5,1,0
1417,5,129.90734922460928,Enterprise,20,3,53,2,1
2130,39,110.36779940669904,Enterprise,20,4,19,0,0
4167,2,81.24254597162552,Basic,50,1,22,0,0
35,49,68.72982672625736,Pro,20,5,39,0,0
3877,48,78.82113710448091,Pro,50,0,4,1,0
814,45,90.65930187416312,Basic,120,2,51,0,0
4737,50,11.387796900849125,Pro,20,0,51,1,0
4112,21,129.27826862207223,Pro,20,2,47,2,1
2941,9,202.41887151235892,Enterprise,120,2,46,1,0
2099,40,131.89718078112404,Basic,20,0,49,0,0
870,10,41.02766953336649,Pro,120,1,31,1,0
3846,8,66.33012834677258,Basic,120,3,46,1,0
4435,42,71.92075387676996,Pro,50,2,52,0,0
4892,3,38.99747389483835,Pro,120,1,56,0,1
1738,26,325.1145907172099,Basic,120,1,17,0,0
1474,1,130.5634947214212,Pro,120,0,23,1,1
4488,46,61.15604945847013,Basic,50,0,42,1,0
4392,19,73.67457859598744,Pro,120,2,58,0,0
2589,9,62.55225960698078,Pro,120,3,11,1,0
2572,12,111.98556930024014,Enterprise,120,0,16,0,0
2047,29,153.88681802203834,Basic,120,1,23,0,0
3690,20,27.085722798048433,Basic,120,1,33,0,0
1268,50,131.0583856084578,Basic,20,1,18,0,0
4457,13,40.527648860004376,Enterprise,120,2,32,1,0
2740,8,120.98296594753516,Basic,120,2,26,0,0
3717,14,210.68194306501712,Pro,50,2,10,0,0
2737,26,73.39953117973701,Pro,20,6,51,1,0
3108,16,11.75245657944367,Basic,20,1,8,1,0
1123,28,175.43905043506606,Basic,120,1,5,0,0
101,21,119.39315188583376,Pro,50,2,0,2,0
1810,34,292.6922975462448,Basic,50,4,52,0,0
1061,16,248.8777632879933,Pro,120,4,14,0,0
610,54,103.48585717438748,Basic,50,3,41,1,0
4629,30,165.31965975053447,Pro,120,2,22,1,0
3889,11,145.12262482525878,Basic,120,2,54,1,0
2939,36,51.90343291795355,Pro,20,0,43,0,0
1865,51,13.77483100662545,Basic,20,4,3,0,1
2291,25,129.91486523028684,Basic,20,1,25,1,0
3091,2,26.862171327352257,Basic,20,1,10,0,0
1434,18,33.488538084841494,Pro,120,3,28,2,1
3777,39,64.96641322453596,Basic,50,1,5,1,0
3362,16,141.5868330093981,Pro,20,2,5,1,0
3707,20,32.762619208298126,Basic,20,2,11,1,0
422,17,282.8980327325603,Pro,50,1,38,1,0
4344,28,52.85827352846566,Pro,120,1,21,1,0
4381,56,47.99074355499256,Pro,20,1,28,1,0
2258,35,68.82359742508666,Pro,20,2,21,0,0
3661,21,149.5779904377966,Basic,20,2,5,0,0
3056,55,218.36239197441145,Basic,120,2,21,0,0
3832,19,206.58654512937176,Basic,120,2,30,0,0
3265,21,178.7462558517117,Pro,50,1,7,0,0
4008,17,114.85762969956446,Basic,120,1,51,2,0
3039,50,23.31787253273052,Basic,120,2,2,1,0
3230,52,64.42762788687308,Enterprise,20,2,37,1,0
1617,32,158.50051661659165,Basic,120,0,12,0,0
2655,10,46.90881230593958,Basic,20,0,20,0,0
1556,40,104.89467206281998,Basic,50,2,6,0,0
4972,25,118.39369843562358,Basic,20,4,47,0,0
3610,50,71.08586572838281,Pro,50,2,58,0,0
437,53,60.93883615378897,Enterprise,120,1,12,0,0
2821,11,139.07452423383762,Pro,20,6,13,1,1
4444,37,120.890953171356,Enterprise,120,1,38,1,1
4591,45,31.715814731754655,Pro,20,3,9,1,0
1007,11,142.94889203548783,Basic,20,0,30,0,0
4886,9,81.2181253247351,Pro,120,3,50,1,0
4372,58,87.36489238260009,Pro,120,1,34,0,0
771,58,90.83878533688896,Basic,50,1,1,1,0
4474,22,30.725525732459747,Basic,20,0,9,0,0
3916,34,157.3274650675508,Basic,50,1,4,1,0
3095,20,100.3597008145282,Pro,20,0,22,1,0
1638,19,63.31716546934545,Basic,50,1,33,1,0
3138,6,86.55459320093367,Pro,20,2,20,0,0
1976,37,94.55001500745968,Pro,50,2,14,0,0
4808,56,54.39456345352872,Pro,20,1,49,0,0
1095,26,39.44712307167222,Pro,50,3,42,1,0
4569,11,62.19991535868502,Pro,120,0,0,0,0
3951,21,78.40984886449408,Pro,20,1,41,0,1
36,27,125.15576440131512,Pro,20,0,56,1,0
4239,11,229.23464576076148,Pro,120,1,41,1,0
145,55,143.66955459716468,Basic,120,0,0,1,0
1732,57,110.68154537466792,Basic,50,1,10,2,0
3784,59,42.99820486049019,Basic,50,2,57,0,0
1740,28,37.57810523413226,Basic,50,4,37,1,1
3386,44,354.7608710874237,Pro,50,3,54,1,1
207,20,34.43422972762473,Enterprise,120,1,11,0,0
4171,55,110.43883833817378,Basic,20,0,56,1,0
3014,40,92.93179701847502,Pro,20,0,18,2,0
1895,55,90.80563075748742,Basic,120,1,20,0,0
1591,7,159.27297573706966,Basic,50,1,42,1,0
4424,59,120.81845175803768,Pro,20,1,46,1,0
271,26,228.91494653770556,Basic,120,1,50,1,0
4415,31,89.74366270774442,Pro,50,0,13,3,0
4751,23,92.05811019382712,Basic,120,1,47,0,0
1654,55,106.33959217608808,Basic,50,2,51,0,0
3974,20,50.53740669453747,Pro,120,1,28,0,0
725,41,144.9682928090735,Pro,120,1,10,0,0
4960,42,88.3296405800326,Basic,120,0,42,1,0
573,39,124.58707908803828,Basic,20,1,52,1,0
3967,44,50.58809896907863,Basic,120,0,38,2,1
2940,3,6.99816662670838,Basic,20,2,2,0,0
2558,20,33.06629296275474,Pro,50,3,24,1,0
3895,55,78.6578511369321,Pro,120,1,27,0,0
118,9,23.160855128699605,Basic,20,2,21,2,1
128,35,52.207741123056,Basic,50,1,27,0,0
3319,5,245.2103670590043,Enterprise,120,3,32,0,1
1063,4,49.01873586274288,Basic,50,2,10,1,1
1070,3,61.52339450829597,Enterprise,50,1,59,0,0
2108,45,35.71128819449526,Pro,50,4,10,0,1
4242,45,144.6034259287884,Basic,50,1,17,0,0
2328,41,217.94932434546516,Pro,120,0,46,1,0
1600,59,136.18785162528195,Basic,20,0,31,1,0
2918,54,36.944320353004066,Basic,120,5,17,2,0
1803,50,68.74919889777817,Pro,20,0,55,1,0
3977,2,94.42677592505356,Basic,120,0,25,1,0
2218,13,60.84595617603833,Pro,50,3,52,1,0
695,36,58.7596541726744,Enterprise,120,1,25,2,0
4310,39,103.47634135286224,Enterprise,120,1,30,0,0
2263,18,54.29752640368374,Pro,20,4,27,1,0
4822,10,116.35285033027756,Basic,120,1,3,0,0
4420,5,134.38316639691692,Pro,20,1,54,1,1
993,5,96.61292564824704,Basic,120,0,8,2,1
599,26,189.08402577740932,Pro,20,3,34,0,0
4951,47,82.5960441462668,Pro,120,0,0,2,0
736,47,25.549597458182383,Basic,20,2,48,0,0
3540,3,62.427028670670545,Pro,120,0,54,1,1
12,11,87.30716006947436,Basic,120,3,38,1,0
3092,35,103.936825461415,Pro,120,1,32,0,0
1904,22,139.33718508501678,Basic,20,1,38,0,1
1531,49,72.62056969122746,Pro,120,0,13,1,0
1565,54,137.03184163342422,Basic,50,2,42,0,0
1101,47,9.727890747369257,Pro,50,2,24,1,0
3451,44,77.33294580408567,Basic,50,2,28,1,0
1933,29,67.25980754809001,Enterprise,50,1,22,1,0
3629,51,114.57361305831532,Pro,20,1,44,2,0
1761,40,87.23015614017284,Pro,20,0,25,1,0
4933,38,376.4555159605567,Basic,50,0,8,0,0
1185,6,72.89982144207589,Pro,50,1,44,1,0
666,29,51.705709767275685,Basic,20,1,2,1,0
2370,50,102.75461485975865,Pro,120,1,44,0,0
4041,14,76.87970783435613,Pro,20,1,31,1,0
196,28,21.428496453530062,Basic,20,1,21,0,0
2760,5,16.60813603250245,Basic,20,4,48,2,1
3968,11,29.640171810615012,Pro,20,2,47,0,0
4056,20,226.48791643844413,Pro,120,1,54,0,0
1490,41,81.51303093297895,Pro,50,4,52,1,0
2771,6,269.24057679885925,Basic,120,2,47,0,0
836,58,43.05271117464108,Basic,20,1,28,0,0
3251,41,35.330134127155645,Pro,20,5,50,0,0
3568,36,109.2102567401077,Basic,120,2,29,1,0
259,2,30.611612328749658,Pro,120,5,26,0,1
1898,39,140.98100091767623,Pro,120,0,2,1,0
3475,21,12.253639453093916,Enterprise,50,1,26,0,0
882,36,90.6396377307188,Basic,50,1,50,0,0
944,48,69.89432758639789,Pro,50,0,7,1,0
3012,5,105.1270277306956,Basic,50,0,59,0,0
3647,24,27.206269016013916,Pro,50,1,43,0,0
758,31,30.367553680940023,Pro,50,3,12,0,0
2018,20,66.73880204434963,Pro,20,0,24,2,1
2831,49,199.5787033748011,Basic,20,1,22,1,0
623,5,72.02048258859054,Pro,20,2,25,1,0
1449,42,56.655936212871005,Pro,120,0,43,1,0
2432,32,12.79893648956659,Basic,20,3,0,0,0
1040,20,88.8193744370504,Enterprise,120,2,41,0,1
4193,49,30.814234754144415,Basic,120,1,31,0,0
2938,33,82.6499487474431,Basic,120,0,0,0,0
4256,26,44.11869456660533,Pro,120,2,34,1,0
4840,21,28.645193431250625,Pro,120,2,28,0,0
2883,33,240.1248702730033,Basic,20,2,47,0,0
4530,54,83.89645909822289,Basic,50,3,21,1,0
3682,13,87.26657385558275,Basic,120,2,26,0,0
2297,20,30.58908677480307,Basic,50,1,56,1,1
2843,56,123.8131099039182,Pro,120,1,18,1,0
523,44,133.0880146164914,Basic,120,3,16,0,0
3022,6,30.22923112390475,Basic,50,0,17,0,0
3598,6,49.25213203210776,Basic,20,3,12,1,0
4279,36,11.671233903871263,Basic,120,0,48,2,0
4330,1,170.2145525178646,Pro,20,4,30,2,1
4912,10,433.62797817628234,Basic,120,2,31,0,0
1303,12,42.580540336754694,Pro,50,5,58,2,1
748,23,104.69632007313264,Basic,120,0,45,0,0
1809,38,96.6758211852734,Enterprise,20,4,37,0,0
1601,8,30.530045900124303,Basic,50,1,3,1,0
2935,36,23.209890434496636,Basic,20,6,19,1,1
3236,52,179.5717964978309,Basic,120,1,6,0,0
4166,44,63.91966641460741,Pro,50,2,23,0,0
4149,51,52.27004359512078,Pro,120,0,39,1,1
1645,1,116.40750550068148,Basic,120,2,28,2,0
3934,44,110.59406885738458,Basic,120,1,0,2,1
3286,37,90.33331857055134,Pro,120,0,35,0,0
1909,16,82.02266721138444,Basic,20,0,14,0,0
2262,12,11.741985118297128,Enterprise,120,1,46,1,0
1926,35,77.99564260297564,Pro,50,0,56,0,0
2025,18,81.29929040230803,Enterprise,50,1,29,0,0
1299,56,126.2213765810228,Basic,20,2,48,0,0
4294,39,77.02219126688027,Pro,120,4,49,1,0
4570,57,236.19167177580024,Pro,50,2,29,1,0
3098,25,212.82663239388867,Basic,20,2,23,0,0
3956,51,68.67210963961973,Basic,20,3,48,0,0
301,36,15.707333083004372,Pro,20,3,53,1,1
4261,8,98.99956769947444,Enterprise,120,0,34,0,0
3278,24,93.5621825306344,Enterprise,50,1,9,2,0
3028,33,56.60321473306858,Pro,20,2,29,1,0
2423,55,59.583720183397745,Pro,50,1,52,1,0
58,14,212.7387931093298,Basic,120,0,58,1,0
3706,11,13.6040944518873,Basic,120,2,54,0,0
3941,12,145.19942754726333,Basic,20,1,38,0,0
1076,51,81.24094327991452,Pro,50,2,26,0,0
919,5,100.37481937831244,Enterprise,20,0,29,0,0
3886,32,87.05984544062538,Enterprise,20,1,14,0,0
4665,30,97.0634424577686,Pro,50,0,35,1,1
2924,24,86.8566660962031,Enterprise,50,0,44,1,0
4203,13,129.70737307904153,Pro,50,0,12,0,0
989,12,135.66969321494042,Basic,120,2,54,0,0
1407,2,112.05229646079329,Pro,120,1,6,0,0
1718,23,40.874556121004275,Pro,20,1,14,0,0
1255,47,59.90821828910878,Basic,120,3,11,0,0
4535,21,58.56978297015733,Basic,20,0,9,0,0
3281,5,32.80095212997842,Enterprise,120,1,17,0,1
4989,51,97.82665968043965,Pro,20,1,3,1,0
1893,40,80.89235877291775,Enterprise,20,0,12,1,0
3524,40,149.1130301693727,Basic,50,3,34,0,1
4003,46,104.16336839178528,Basic,20,2,55,1,0
1879,59,238.952663026081,Basic,120,1,19,1,0
3998,21,49.0672486953279,Pro,50,1,37,1,1
2813,18,33.81524661352656,Pro,50,2,43,2,0
3553,19,29.47953827221855,Pro,50,0,49,1,0
4730,10,431.30083660705935,Basic,20,1,37,1,0
2730,33,36.27709073261877,Pro,120,1,51,0,0
1857,22,49.9211943535131,Pro,120,3,13,0,0
3297,35,41.21339932508625,Basic,120,0,36,0,0
213,25,38.972802932490744,Pro,120,2,22,1,0
2879,18,146.1363771139677,Basic,50,1,5,2,0
1682,17,200.0570561373744,Pro,50,0,23,0,0
4961,59,94.13021566641665,Basic,20,1,7,1,0
2285,24,212.5787223538902,Pro,120,2,46,0,0
1758,49,171.30178929169335,Pro,120,4,12,2,0
3130,32,131.6285508307862,Pro,120,4,9,1,0
3018,57,130.40712143976774,Enterprise,50,1,44,0,0
3366,11,86.75368363012063,Enterprise,50,2,42,0,1
4382,28,62.47703684381568,Enterprise,20,1,56,1,0
3962,23,38.20390819851878,Basic,50,2,5,1,0
2433,51,151.86213464418833,Enterprise,50,1,59,1,0
2838,54,302.9303046820712,Basic,20,1,11,1,0
3338,50,58.43519190063403,Basic,50,3,56,0,0
746,36,43.26499055802699,Pro,50,2,45,0,0
2124,42,56.66767808917099,Pro,50,3,50,1,0
589,5,16.97139371031208,Basic,50,2,47,1,1
150,44,74.98616819833171,Pro,50,2,22,0,0
2659,17,9.221386345288924,Basic,120,3,44,0,0
912,2,273.56407832435644,Pro,20,0,30,1,1
4427,45,31.36754531667418,Basic,20,1,29,1,0
4463,32,91.30283292698589,Pro,120,2,25,0,0
4114,48,185.4767906594507,Pro,120,3,31,0,1
575,22,21.556437125557437,Basic,20,1,48,1,1
4470,49,44.724824117460486,Enterprise,120,0,9,1,0
2550,10,81.02389681133936,Pro,120,1,54,0,0
4848,37,54.27418851267658,Basic,20,1,31,0,1
4016,33,31.801087963189385,Basic,20,1,13,0,0
1525,21,192.2674685801692,Basic,50,4,19,0,0
240,24,47.00087535589314,Pro,120,0,47,0,0
3806,14,301.62653931870096,Enterprise,120,4,23,1,0
4211,33,70.12821119048103,Basic,120,0,35,1,0
3589,33,78.56671551161406,Basic,50,1,39,1,0
1152,10,63.382987501137755,Pro,120,2,27,1,0
740,35,164.98421322651197,Pro,120,2,43,1,0
4967,6,31.06764995757867,Basic,120,1,36,0,0
818,58,154.27886296313335,Pro,20,1,54,1,0
3444,3,91.35821872776414,Enterprise,20,0,23,0,0
4864,13,152.9207384856732,Pro,20,2,30,0,0
706,55,125.25257747615204,Basic,50,5,17,0,0
1811,12,131.6268865809328,Basic,50,2,51,0,0
768,12,70.97296628879116,Basic,120,0,23,1,0
2732,32,134.34736647750455,Pro,50,1,59,0,0
2071,6,89.94754273160898,Basic,50,3,32,1,0
2193,36,253.6203268021791,Basic,20,6,4,2,1
4605,46,179.1543315022082,Pro,20,2,28,3,1
1511,25,46.66958720787513,Basic,120,2,37,1,1
783,58,245.68421920592672,Basic,120,2,11,0,0
3964,22,115.18858254853174,Pro,120,0,16,0,0
4376,36,86.91312945695678,Enterprise,20,0,36,0,0
2767,15,111.21264063436738,Pro,120,2,55,0,0
946,6,16.59131506932787,Pro,50,1,22,0,0
2684,50,139.8353062927039,Basic,120,0,9,0,0
917,59,138.9256672216345,Enterprise,50,2,26,1,0
4925,17,19.752827850542836,Enterprise,20,2,30,0,0
1662,34,10.595734680090274,Basic,50,3,39,0,1
1125,14,25.461475697184472,Basic,20,1,59,0,0
2339,32,273.1945347904261,Basic,20,0,14,1,0
1087,5,124.58597546258474,Basic,20,1,23,0,0
952,38,177.31544946971087,Basic,50,3,3,1,0
1576,55,188.13930890079777,Basic,120,0,36,1,0
4592,17,40.846797457814354,Pro,120,2,10,0,0
1577,39,35.27060859735313,Basic,50,0,50,0,1
905,35,41.93666694923499,Enterprise,120,2,10,0,0
908,51,52.45895774064484,Basic,120,0,4,0,0
781,50,51.8065701628084,Pro,20,1,25,1,0
2829,7,143.91084659013552,Basic,120,1,1,0,0
1153,39,62.69730520716744,Pro,20,1,41,1,0
2015,49,107.1157022741172,Basic,20,1,19,0,0
2477,34,42.93069876401231,Basic,120,1,37,0,0
4080,14,109.91664963574924,Basic,20,1,9,0,0
2805,47,52.30133927769053,Basic,20,3,43,0,0
4609,50,304.35044538686304,Basic,120,1,45,0,0
4700,8,105.28627884158944,Basic,120,0,53,1,0
4067,14,46.386648066943714,Basic,20,4,17,1,0
535,55,359.0405131162035,Basic,120,1,29,0,0
2670,4,317.50393210012146,Basic,120,1,53,0,1
1568,50,116.38887726882888,Basic,20,0,13,0,0
2245,59,74.64799674964824,Pro,120,0,55,1,1
822,41,42.081090280159046,Pro,50,1,23,0,0
205,44,217.77956010533129,Basic,120,1,3,0,0
2784,53,167.40920435829858,Basic,50,0,17,2,0
2615,25,7.650175187729598,Basic,50,3,54,1,0
285,52,22.823338745651775,Enterprise,50,1,1,0,0
417,48,153.39184036242912,Basic,120,0,26,0,0
4792,43,154.74619113964272,Basic,120,2,45,2,0
3017,1,57.852975908754,Enterprise,120,3,14,2,0
4443,42,183.2521010539502,Basic,120,1,47,3,0
2413,54,25.714885085699063,Basic,20,1,9,1,0
2208,58,69.51365588364021,Basic,120,0,33,1,0
1675,59,17.73607135638579,Enterprise,20,2,15,0,0
4081,11,104.52183595553868,Basic,50,2,11,0,0
3826,52,129.73760246051944,Basic,120,0,52,0,1
